,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform_type
85,5863,The Dukes of Hazzard II: Daisy Dukes It Out,PS,2000,Racing,Unknown,0.17,0.11,0,0.02,0.3,Console
86,5872,Disgaea 3: Absence of Detention,PSV,2012,Role-Playing,Nippon Ichi Software,0.13,0.06,0.07,0.04,0.3,Console
87,5903,NBA Live 2003,GC,2003,Sports,Electronic Arts,0.23,0.06,0,0.01,0.3,Console
88,5915,Harvest Moon: The Tale of Two Towns,3DS,2011,Simulation,Unknown,0.28,0,0,0.02,0.3,Hand_Held
89,6044,Nicktoons: Battle for Volcano Island,GC,2006,Action,Unknown,0.22,0.06,0,0.01,0.29,Console
90,6127,Haven: Call of the King,PS2,2002,Platform,Midway Games,0.14,0.11,0,0.04,0.28,Console
91,6155,Unreal Championship 2: The Liandri Conflict,XB,2005,Shooter,Midway Games,0.22,0.05,0,0.01,0.28,Console
92,6197,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,N/A,Action,Disney Interactive Studios,0.22,0.06,0,0.01,0.28,Console
93,6213,Pac-Man Fever,GC,2002,Misc,Unknown,0.21,0.06,0,0.01,0.28,Console
94,6274,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,N/A,Action,Nintendo,0,0,0.27,0.01,0.27,Hand_Held
95,6285,Indy 500,2600,1977,Racing,Atari,0.26,0.01,0,0,0.27,Console
96,6316,Gun,X360,2005,Shooter,Activision,0.24,0.01,0,0.02,0.27,Console
97,6318,Flag Capture,2600,1978,Action,Atari,0.25,0.02,0,0,0.27,Console
98,6321,LEGO Harry Potter: Years 5-7,PSP,2011,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0,0.06,0.27,Hand_Held
99,6403,Rock Revolution,PS3,2008,Misc,Unknown,0.25,0,0,0.02,0.27,Console
100,6498,Jonah Lomu Rugby Challenge,PS3,2011,Sports,Home Entertainment Suppliers,0,0.2,0,0.06,0.26,Console
101,6649,College Hoops 2K6,PS2,2005,Sports,Unknown,0.12,0.1,0,0.03,0.25,Console
102,6779,Mega Man X Collection,PS2,2006,Misc,Unknown,0.12,0.09,0,0.03,0.24,Console
103,6808,BioShock 2,PC,2010,Shooter,Take-Two Interactive,0.02,0.19,0,0.04,0.24,Computer
104,6834,Singularity,PS3,2010,Shooter,Unknown,0.17,0.04,0.01,0.03,0.24,Console
105,6921,Danganronpa: Trigger Happy Havoc,PSP,2010,Misc,Unknown,0,0,0.24,0,0.24,Hand_Held
106,6928,DanceDanceRevolution II,Wii,2011,Misc,Konami Digital Entertainment,0.22,0,0,0.02,0.24,Console
107,6939,Tony Hawk's Downhill Jam,Wii,2006,Sports,Activision,0.21,0,0,0.02,0.24,Console
108,6968,Big Beach Sports 2,Wii,2010,Sports,THQ,0.09,0.12,0,0.03,0.23,Console
109,6970,Jet X20,PS2,2002,Racing,Unknown,0.11,0.09,0,0.03,0.23,Console
110,7037,Tribes: Aerial Assault,PS2,2002,Shooter,Unknown,0.11,0.09,0,0.03,0.23,Console
111,7183,Move Fitness,PS3,2013,Sports,Sony Computer Entertainment,0,0.17,0,0.05,0.22,Console
112,7215,LEGO Harry Potter: Years 5-7,PC,2011,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0,0.03,0.22,Computer
113,7353,Yu Yu Hakusho: Dark Tournament,PS2,2003,Fighting,Digital Diction Inc.,0.1,0.08,0,0.03,0.21,Console
114,7371,Ghostbusters II,2600,1992,Action,Activision,0.2,0.01,0,0,0.21,Console
115,7372,Breakaway IV,2600,1978,Puzzle,Sears,0.2,0.01,0,0,0.21,Console
116,7384,Robotech: Battlecry,XB,2002,Shooter,Unknown,0.16,0.05,0,0.01,0.21,Console
117,7408,Valkyria Chronicles III: Unrecorded Chronicles,PSP,2011,Strategy,Sega,0,0,0.21,0,0.21,Hand_Held
118,7425,WRC: FIA World Rally Championship,PS3,2012,Racing,Black Bean Games,0,0.15,0.01,0.05,0.21,Console
119,7617,Famista 64,N64,1997,Sports,Namco Bandai Games,0,0,0.17,0.03,0.2,Console
120,7650,Dead Space 3,PC,2013,Action,Electronic Arts,0.02,0.15,0,0.02,0.2,Computer
121,7722,Test Drive Unlimited 2,PC,2011,Racing,Atari,0.05,0.11,0,0.03,0.2,Computer
122,7910,Pet Zombies,3DS,2011,Simulation,Majesco Entertainment,0.18,0,0,0.01,0.19,Hand_Held
123,7948,Star Trek: Legacy,X360,2006,Simulation,Ubisoft,0.14,0.03,0,0.02,0.19,Console
124,8046,Trauma Team,Wii,2010,Simulation,Unknown,0.15,0,0.02,0.01,0.18,Console
125,8088,Backbreaker,X360,2010,Sports,Unknown,0.17,0,0,0.01,0.18,Console
126,8159,Twisted Metal: Small Brawl,PS,2001,Action,Unknown,0.1,0.07,0,0.01,0.18,Console
127,8169,Otomedius Excellent,X360,2011,Shooter,Unknown,0.13,0,0.04,0.01,0.18,Console
128,8206,NBA Starting Five,PS2,2002,Sports,Unknown,0.09,0.07,0,0.02,0.18,Console
129,8225,Teen Titans,GBA,2005,Action,Unknown,0.13,0.05,0,0,0.17,Hand_Held
130,8315,Backbreaker,PS3,2010,Sports,Unknown,0.16,0,0,0.01,0.17,Console
131,8336,James Cameron's Dark Angel,PS2,2002,Action,Universal Interactive,0.08,0.07,0,0.02,0.17,Console
132,8378,Sword of the Samurai,PS2,2002,Fighting,Ubisoft,0,0,0.17,0,0.17,Console
133,8441,Splatterhouse,PS3,2010,Action,Namco Bandai Games,0.13,0.02,0,0.02,0.17,Console
134,8555,Alone in the Dark: The New Nightmare,PS,2001,Adventure,Infogrames,0.09,0.06,0,0.01,0.16,Console
135,8622,Vegas Party,Wii,2009,Misc,Unknown,0.15,0,0,0.01,0.16,Console
136,8709,Jurassic Park: The Game,X360,2011,Action,Unknown,0.15,0,0,0.01,0.16,Console
137,8762,Home Run,2600,1978,Sports,Atari,0.14,0.01,0,0,0.15,Console
138,8901,eJay Clubworld,PS2,2003,Misc,Empire Interactive,0.07,0.06,0,0.02,0.15,Console
139,8931,All-Star Baseball 2005,XB,2004,Sports,Unknown,0.11,0.03,0,0.01,0.15,Console
140,9083,Our House Party!,Wii,2009,Simulation,Unknown,0.13,0,0,0.01,0.14,Console
141,9153,WCW Backstage Assault,N64,2000,Action,Unknown,0.11,0.03,0,0,0.14,Console
142,9173,Bejeweled 3,PS3,2011,Puzzle,Unknown,0.13,0,0,0.01,0.14,Console
143,9253,Bejeweled 3,X360,2011,Puzzle,Unknown,0.13,0,0,0.01,0.14,Console
144,9312,Disney's Cinderella: Magical Dreams,GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0,0,0.14,Hand_Held
145,9394,Transworld Surf,XB,2001,Sports,Atari,0.1,0.03,0,0,0.13,Console
146,9477,Street Fighter IV,PC,2010,Fighting,Capcom,0.07,0.04,0,0.02,0.13,Computer
147,9524,Nintendo Puzzle Collection,GC,2003,Puzzle,Unknown,0,0,0.13,0,0.13,Console
148,9669,Charm Girls Club: My Fashion Mall,DS,2009,Simulation,Unknown,0.12,0,0,0.01,0.12,Hand_Held
149,9694,WRC: FIA World Rally Championship,X360,2011,Racing,Black Bean Games,0,0.1,0,0.02,0.12,Console
150,9744,Record of Agarest War Zero,PS3,2011,Strategy,Ghostlight,0.09,0,0.03,0.01,0.12,Console
151,9751,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,2012,Strategy,Bandai Namco Entertainment,0,0,0.12,0,0.12,Hand_Held
152,9771,Saru! Get You! Million Monkeys,PS2,2006,Platform,Unknown,0,0,0.12,0,0.12,Console
153,9817,Street Hoops,GC,2002,Sports,Unknown,0.09,0.02,0,0,0.12,Console
154,9822,Godzilla: Destroy All Monsters Melee,XB,2002,Fighting,Unknown,0.09,0.03,0,0,0.12,Console
155,9823,The Daring Game for Girls,DS,2010,Adventure,Unknown,0.11,0,0,0.01,0.12,Hand_Held
156,9842,Rocksmith,PC,2012,Misc,Unknown,0.06,0.04,0,0.01,0.12,Computer
157,9870,Major League Baseball 2K6,PSP,2006,Sports,Unknown,0.11,0,0,0.01,0.12,Hand_Held
158,9983,Happy Feet Two,DS,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.02,0,0.01,0.12,Hand_Held
159,10047,Star Trek: Conquest,PS2,2007,Strategy,Bethesda Softworks,0.06,0.04,0,0.01,0.11,Console
160,10274,GiFTPiA,GC,2003,Role-Playing,Unknown,0,0,0.11,0,0.11,Console
161,10364,Disney's Chicken Little: Ace In Action,Wii,2006,Shooter,Disney Interactive Studios,0.1,0,0,0.01,0.11,Console
162,10467,Happy Feet Two,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.01,0,0.01,0.1,Console
163,10496,Atsumare! Power Pro Kun no DS Koushien,DS,2006,Sports,Konami,0,0,0.1,0,0.1,Hand_Held
164,10561,My Healthy Cooking Coach,DS,2009,Simulation,Unknown,0.09,0,0,0.01,0.1,Hand_Held
165,10692,Happy Feet Two,X360,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0,0.01,0.1,Console
166,10760,Luminous Arc 2 (JP sales),DS,2007,Role-Playing,Unknown,0,0,0.1,0,0.1,Hand_Held
167,10794,The Daring Game for Girls,Wii,2010,Adventure,Unknown,0.09,0,0,0.01,0.1,Console
168,10831,Egg Monster Hero,DS,2005,Role-Playing,Square Enix,0,0,0.09,0,0.09,Hand_Held
169,10981,Samurai Shodown Anthology,PSP,2009,Fighting,Ignition Entertainment,0.08,0,0,0.01,0.09,Hand_Held
170,10999,Demon Chaos,PS2,2005,Action,Konami Digital Entertainment,0,0,0.09,0,0.09,Console
171,11078,Action Man-Operation Extreme,PS,2000,Action,Hasbro Interactive,0.05,0.03,0,0.01,0.09,Console
172,11110,Super Puzzle Fighter II,GBA,2003,Puzzle,Capcom,0.06,0.02,0,0,0.09,Hand_Held
173,11144,Happy Feet Two,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.07,0.01,0,0.01,0.09,Console
174,11325,Charm Girls Club: My Fashion Show,DS,2009,Simulation,Unknown,0.08,0,0,0.01,0.08,Hand_Held
175,11333,Get Fit with Mel B,X360,2010,Sports,Black Bean Games,0,0.07,0,0.01,0.08,Console
176,11378,Face Racers: Photo Finish,3DS,2011,Racing,Majesco Entertainment,0.08,0,0,0,0.08,Hand_Held
177,11411,Zero: Tsukihami no Kamen,Wii,2008,Action,Nintendo,0,0,0.08,0,0.08,Console
178,11457,The Hidden,3DS,2011,Adventure,Unknown,0.08,0,0,0,0.08,Hand_Held
179,11545,Rock Revolution,Wii,2008,Misc,Unknown,0.07,0,0,0.01,0.08,Console
180,11575,Dead Island: Riptide,PC,2023,Action,Deep Silver,0,0.07,0,0.01,0.08,Computer
181,11757,Mega Man Battle Network: Operation Shooting Star,DS,2009,Role-Playing,Capcom,0,0,0.07,0,0.07,Hand_Held
182,11800,Smashing Drive,GC,2002,Racing,Unknown,0.06,0.01,0,0,0.07,Console
183,11923,Dream Trigger 3D,3DS,2011,Shooter,D3Publisher,0.04,0.02,0,0.01,0.07,Hand_Held
184,11940,Tornado,DS,2008,Action,Ignition Entertainment,0.07,0,0,0,0.07,Hand_Held
185,11978,McFarlane's Evil Prophecy,PS2,2004,Action,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07,Console
186,12017,Drake of the 99 Dragons,XB,2003,Shooter,Unknown,0.05,0.01,0,0,0.07,Console
187,12030,Port Royale 3,PS3,2012,Simulation,Kalypso Media,0.06,0,0,0.01,0.07,Console
188,12129,Build-A-Bear Workshop: Friendship Valley,Wii,2010,Misc,Unknown,0.06,0,0,0,0.07,Console
189,12131,Alex Rider: Stormbreaker,DS,2006,Action,THQ,0.06,0,0,0,0.07,Hand_Held
190,12137,Yoostar on MTV,X360,2011,Misc,Unknown,0.06,0,0,0,0.07,Console
191,12186,Rayman Arena,XB,2002,Racing,Unknown,0.05,0.01,0,0,0.07,Console
192,12214,National Geographic Challenge!,X360,2011,Misc,Unknown,0.06,0,0,0,0.07,Console
193,12240,Port Royale 3,X360,2012,Simulation,Kalypso Media,0.06,0,0,0,0.07,Console
194,12250,Jewel Link Chronicles: Mountains of Madness,DS,2012,Puzzle,Avanquest,0,0.06,0,0.01,0.06,Hand_Held
195,12489,Chou Soujuu Mecha MG,DS,2006,Simulation,Nintendo,0,0,0.06,0,0.06,Hand_Held
196,12519,Prinny: Can I Really Be The Hero? (US sales),PSP,2009,Action,Nippon Ichi Software,0.06,0,0,0,0.06,Hand_Held
197,12533,Combat Elite: WWII Paratroopers,PS2,2005,Shooter,Unknown,0.03,0.02,0,0.01,0.06,Console
198,12628,Captain America: Super Soldier,Wii,2011,Action,Sega,0.05,0,0,0,0.06,Console
199,12668,Flip's Twisted World,Wii,2010,Platform,Unknown,0.05,0,0,0,0.06,Console
200,12711,Mobile Ops: The One Year War,X360,2008,Simulation,Namco Bandai Games,0,0,0.06,0,0.06,Console
201,12751,Tom Clancy's Rainbow Six: Critical Hour,XB,2006,Shooter,Unknown,0.04,0.01,0,0,0.06,Console
202,12809,GRID,DS,2008,Racing,Codemasters,0.04,0.01,0,0,0.06,Hand_Held
203,12827,Captain America: Super Soldier,DS,2011,Action,Sega,0.05,0,0,0,0.05,Hand_Held
204,12881,Reader Rabbit 2nd Grade,Wii,2011,Misc,Unknown,0.05,0,0,0,0.05,Console
205,12917,Mountain Bike Adrenaline,PS2,2007,Sports,Unknown,0.03,0.02,0,0.01,0.05,Console
206,12924,Tour de France 2011,X360,2011,Racing,Focus Home Interactive,0,0.05,0,0.01,0.05,Console
207,12931,Drill Dozer,GBA,2006,Platform,Unknown,0.04,0.01,0,0,0.05,Hand_Held
208,13057,Battle vs. Chess,PS3,2012,Misc,TopWare Interactive,0,0.04,0,0.01,0.05,Console
209,13158,The History Channel: Great Battles - Medieval,PS3,2010,Strategy,Slitherine Software,0,0.04,0,0.01,0.05,Console
210,13280,Monster Hunter Frontier Online,PS3,2007,Role-Playing,Capcom,0,0,0.05,0,0.05,Console
211,13479,RollerCoaster Tycoon,PC,1999,Strategy,Microprose,0.02,0.02,0,0.01,0.04,Computer
212,13667,GRID,PC,2019,Racing,Codemasters,0,0.03,0,0.01,0.04,Computer
213,13674,B.L.U.E.: Legend of Water,PS,1998,Adventure,Hudson Soft,0,0,0.04,0,0.04,Console
214,13677,Luxor: Pharaoh's Challenge,Wii,2007,Puzzle,Funsta,0.01,0.03,0,0,0.04,Console
215,13735,NHL Hitz Pro,GC,2003,Sports,Unknown,0.03,0.01,0,0,0.04,Console
216,13872,Sega Rally 2006,PS2,2006,Racing,Unknown,0,0,0.04,0,0.04,Console
217,13964,World of Tanks,X360,2014,Shooter,Wargaming,0,0.03,0,0,0.04,Console
218,14048,Swords,Wii,2010,Fighting,Unknown,0.03,0,0,0,0.04,Console
219,14057,Half-Minute Hero 2,PSP,2009,Role-Playing,Rising Star Games,0,0,0.04,0,0.04,Hand_Held
220,14058,Clockwork Empires,PC,2016,Strategy,Unknown,0,0.03,0,0,0.04,Computer
221,14089,Housekeeping,DS,2006,Action,,0,0,0.04,0,0.04,Hand_Held
222,14100,Major League Baseball 2K8,PSP,2008,Sports,Unknown,0.03,0,0,0,0.03,Hand_Held
223,14162,Sabre Wulf,GBA,2004,Platform,THQ,0.02,0.01,0,0,0.03,Hand_Held
224,14276,Beyond the Labyrinth,3DS,2012,Role-Playing,Unknown,0,0,0.03,0,0.03,Hand_Held
225,14299,Bikkuriman Daijiten,DS,2007,Misc,3 O'Clock,0,0,0.03,0,0.03,Hand_Held
226,14315,Majesty 2: The Fantasy Kingdom Sim,X360,2009,Simulation,Unknown,0.03,0,0,0,0.03,Console
227,14380,Fullmetal Alchemist: Brotherhood,PSP,2010,Action,Unknown,0,0,0.03,0,0.03,Hand_Held
228,14476,Combat Elite: WWII Paratroopers,XB,2005,Shooter,Unknown,0.02,0.01,0,0,0.03,Console
229,14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,2006,Fighting,Unknown,0,0,0.03,0,0.03,Console
230,14586,Battle vs. Chess,PC,2021,Misc,TopWare Interactive,0,0.02,0,0.01,0.03,Computer
231,14679,Tom and Jerry in War of the Whiskers,XB,2003,Fighting,Unknown,0.02,0.01,0,0,0.03,Console
232,14699,Super Duper Sumos,GBA,2003,Action,Unknown,0.02,0.01,0,0,0.03,Hand_Held
233,14852,Legacy of Ys: Books I & II,DS,2009,Role-Playing,Unknown,0.02,0,0,0,0.03,Hand_Held
234,14858,The King of Fighters: Maximum Impact - Maniax,XB,2009,Fighting,Unknown,0.02,0.01,0,0,0.03,Console
235,14879,Combat Wings: The Great Battles of WWII,Wii,2012,Simulation,City Interactive,0.02,0,0,0,0.03,Console
236,14928,Tube Slider,GC,2003,Racing,Unknown,0.02,0,0,0,0.02,Console
237,14945,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,2011,Adventure, 07th Expansion,0,0,0.02,0,0.02,Console
238,15000,Wii de Asobu: Metroid Prime,Wii,2009,Shooter,Nintendo,0,0,0.02,0,0.02,Console
239,15001,Payout Poker & Casino,PSP,2006,Misc,Unknown,0.02,0,0,0,0.02,Hand_Held
240,15200,Saint,Wii,2009,Shooter,Unknown,0.02,0,0,0,0.02,Console
241,15211,Steal Princess,DS,2009,Platform,Unknown,0.02,0,0,0,0.02,Hand_Held
242,15264,Mario Tennis,3DS,2012,Sports,Nintendo,0,0,0.02,0,0.02,Hand_Held
243,15319,Runaway: A Twist of Fate,DS,2010,Adventure,Focus Home Interactive,0,0.02,0,0,0.02,Hand_Held
244,15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009,Racing,Unknown,0,0,0.02,0,0.02,Console
245,15582,Cabela's Alaskan Adventure,PS2,2009,Sports,Unknown,0.01,0.01,0,0,0.02,Console
246,15609,Writing and Speaking Beautiful Japanese DS,DS,2008,Misc,Unknown,0,0,0.02,0,0.02,Hand_Held
247,15655,Virtua Quest,PS2,2005,Role-Playing,Unknown,0.01,0.01,0,0,0.02,Console
